2024-01-22 01:26:52.314200	127.0.0.1 is online
2024-01-22 01:26:52.348413	192.168.1.10 is online
2024-01-22 01:26:52.603071	192.168.1.11 is online
2024-01-22 01:26:53.574717	192.168.1.12 is OFFLINE
2024-01-22 01:26:54.589609	192.168.1.13 is OFFLINE
2024-01-22 01:26:55.588750	192.168.1.14 is OFFLINE
2024-01-22 01:26:55.620281	192.168.1.15 is online
2024-01-22 01:26:56.583521	192.168.1.16 is OFFLINE
2024-01-22 01:26:57.583006	192.168.1.17 is OFFLINE
2024-01-22 01:26:57.718121	192.168.1.18 is online
2024-01-22 01:26:58.581087	192.168.1.19 is OFFLINE
2024-01-22 01:26:59.578943	192.168.1.110 is OFFLINE
2024-01-22 01:27:00.576400	192.168.1.111 is OFFLINE
2024-01-22 01:27:01.590321	192.168.1.112 is OFFLINE
2024-01-22 01:27:02.587480	192.168.1.113 is OFFLINE
2024-01-22 01:27:03.582729	192.168.1.114 is OFFLINE
2024-01-22 01:27:04.577850	192.168.1.115 is OFFLINE
